nome_unidade;id_unidade;cep;logradouro;bairro;curso;resultado;resultado_motivo;distancia_media;distancia_minima;distancia_maxima
Janete Mally Betti Simoes, EMEB Profa.;77;9784290;RUA FREI DAMIAO;MONTANHAO;FUND;DEFERIDO;DISTÂNCIA MAIOR QUE 1500 METROS;1533,333333;1500;1700
Nilo Campos Gomes, EMEB Prof.;128;9791357;RUA JOSE TEIXEIRA GUIMARAES;FERRAZOPOLIS;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1007,142857;900;1100
Jorge Marcos de Oliveira, Dom, EMEB;79;9822030;ESTRADA DO VERGUEIRO;BOTUJURU;INF;DEFERIDO;DISTÂNCIA MAIOR QUE 1500 METROS;3333,333333;2900;3700
Jose Cataldi, EMEB;82;9820000;AVENIDA MARIA SERVIDEI DEMARCHI;DEMARCHI;FUND;INDEFERIDO;DISTÂNCIA MENOR QUE 1500 METROS;1141,666667;500;1300
Jose Getulio Escobar Bueno, EMEB Prof.;86;9725610;PASSAGEM MARIA ADELAIDE L QUELHAS;CENTRO;FUND;INDEFERIDO;DISTÂNCIA MENOR QUE 1500 METROS;1042,857143;900;1300
Jose Ibiapino Franklin, EMEB;87;9830100;RUA RIO ACIMA;RIO GRANDE;FUND;DEFERIDO;ÁREA RURAL;3445,833333;250;8000
Jose Ibiapino Franklin, EMEB;87;9830255;RUA RIO ACIMA;RIO GRANDE;FUND;DEFERIDO;ÁREA RURAL;4566;210;7400
Jose Ibiapino Franklin, EMEB;87;9835001;RUA CAMORIM;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;2275;1200;3000
Jose Ibiapino Franklin, EMEB;87;9835100;ESTRADA AGUA LIMPA;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;3300;3300;3300
Jose Ibiapino Franklin, EMEB;87;9835125;ESTRADA DO RIO ACIMA;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;1272,222222;450;5900
Jose Ibiapino Franklin, EMEB;87;9835150;ESTRADA VELHA CURUCUTU;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;1600;1100;2100
Jose Ibiapino Franklin, EMEB;87;9835495;ESTRADA DO RIO ACIMA;CAPIVARI;FUND;DEFERIDO;ÁREA RURAL;6012,5;3000;7800
Jose Ibiapino Franklin, EMEB;87;9835499;ESTRADA DO RIO ACIMA;CAPIVARI;FUND;DEFERIDO;ÁREA RURAL;3850;2500;7400
Jose Ibiapino Franklin, EMEB;87;9835530;ESTRADA ALICE PEREIRA DE SOUZA;SANTA CRUZ;FUND;DEFERIDO;ÁREA RURAL;1700;1400;2000
Jose Ibiapino Franklin, EMEB;87;9835565;RUA MARINALVA ALMEIDA DOS SANTOS;SANTA CRUZ;FUND;DEFERIDO;ÁREA RURAL;733,3333333;600;950
Jose Ibiapino Franklin, EMEB;87;9835577;ESTRADA DO RIO ACIMA;CAPIVARI;FUND;DEFERIDO;ÁREA RURAL;4650;2500;6800
Jose Ibiapino Franklin, EMEB;87;9835577;ESTRADA DO RIO ACIMA;SANTA CRUZ;FUND;DEFERIDO;ÁREA RURAL;4650;2500;6800
Jose Ibiapino Franklin, EMEB;87;9835600;ESTRADA DO RIO ACIMA;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;512,5;0;800
Jose Ibiapino Franklin, EMEB;87;9835700;ESTRADA DO MATARAZZO;CURUCUTU;EJA;DEFERIDO;ÁREA RURAL;1059,52381;650;3600
Jose Ibiapino Franklin, EMEB;87;9835700;ESTRADA DO MATARAZZO;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;1059,52381;650;3600
Jose Ibiapino Franklin, EMEB;87;9836100;ESTRADA TAQUACETUBA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;4723,684211;1300;6900
Jose Ibiapino Franklin, EMEB;87;9836150;RUA AMARANTO;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;3066,666667;3000;3200
Jose Ibiapino Franklin, EMEB;87;9836250;ESTRADA TAQUACETUBA;TAQUACETUBA;EJA;DEFERIDO;ÁREA RURAL;4918,181818;1900;8300
Jose Ibiapino Franklin, EMEB;87;9836450;ESTRADA ALFREDO BONINI;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;400;400;400
Jose Ibiapino Franklin, EMEB;87;9836455;ESTRADA ALFREDO BONINI;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;4633,333333;2500;5700
Jose Ibiapino Franklin, EMEB;87;9836520;ESTRADA IMBURANA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;6300;6000;6600
Jose Ibiapino Franklin, EMEB;87;9836570;RUA CAMOMILA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;3675;3000;5700
Jose Ibiapino Franklin, EMEB;87;9836580;RUA CAVIUNA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;5257,142857;2000;6000
Jose Ibiapino Franklin, EMEB;87;9836605;ESTRADA DA VARIANTE;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;4550;2600;6500
Jose Ibiapino Franklin, EMEB;87;9837160;RUA GENEROSO BARBOSA;TATETOS;FUND;DEFERIDO;ÁREA RURAL;5866,666667;5800;6000
Jose Ibiapino Franklin, EMEB;87;9837200;ESTRADA ALBERTO SILVA;TATETOS;FUND;DEFERIDO;ÁREA RURAL;6275;6200;6300
Jose Ibiapino Franklin, EMEB;87;9837205;ESTRADA ALBERTO SILVA;TATETOS;EJA;DEFERIDO;ÁREA RURAL;6110;0;11400
Jose Ibiapino Franklin, EMEB;87;9837205;ESTRADA ALBERTO SILVA;TATETOS;FUND;DEFERIDO;ÁREA RURAL;6110;0;11400
Jose Ibiapino Franklin, EMEB;87;9837215;RUA HILDA MARTHA DO PRADO DE OLIVEIRA;TATETOS;FUND;DEFERIDO;ÁREA RURAL;5850;5800;6000
Jose Ibiapino Franklin, EMEB;87;9837225;TRAVESSA DA SERVIDAO;TATETOS;FUND;DEFERIDO;ÁREA RURAL;6000;6000;6000
Jose Ibiapino Franklin, EMEB;87;9837230;RUA ROQUE PELISSARI;TATETOS;FUND;DEFERIDO;ÁREA RURAL;6028,571429;6000;6200
Jose Ibiapino Franklin, EMEB;87;9837250;ESTRADA ERNESTO ZABEU;TATETOS;FUND;DEFERIDO;ÁREA RURAL;6166,666667;5500;6800
